id;nome;descricao;horario;latitude;longitude;endereco;bairro;cidade;uf;cep;referencia;tipo_id;situacao_id
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;1;1
2;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;59241;46676;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized;2;2
3;copy convergence;Mayotte;Industrial;84228;77513;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;3;3
4;Small;deliverables reinvent 24 hour;overriding;70685;71134;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;4;4
5;hard drive Robust Networked;Poland;Small partnerships;20171;3142;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;Refined Squares;5;5
6;maroon;EXE projection Fresh;support Gorgeous;22793;64769;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;6;6
7;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;3305;27864;Investor Public-key;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;7;7
8;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;80950;turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;8;8
9;Agent;Human deposit;even-keeled Saint Helena Pound;84666;89711;AI optical invoice;Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;9;9
10;Networked;Fish;payment calculating;65761;30806;Benin Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;10;10
